Degree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Sex,Measure
Less than 9th grade,15800,16690,16510,16910,17020,16140,18130,18260,18630,18480,18240,20100,20060,19840,20990,21050,22210,22360,22970,24560,Female,Current
Some high school,17920,19160,19310,18940,19160,20130,20130,20400,20410,21230,20880,21110,21390,22250,21990,22670,24800,25450,25140,26740,Female,Current
High school completion,24970,25300,25180,26070,26030,26290,26740,27240,28380,29150,29860,30010,30410,30800,30650,31250,31540,32240,32620,35100,Female,Current
Some college,28700,30420,29400,30140,30820,31400,31950,32840,32630,34090,33400,34590,35060,35240,34380,36140,36880,36620,38840,40810,Female,Current
Associate's degree,31070,32150,31630,32250,33480,33940,35160,36330,36760,37270,37770,39290,37320,37700,37480,40190,40220,40640,41490,42300,Female,Current
Bachelor's degree,40420,40990,40850,41330,41680,42170,45410,45770,47030,46830,47440,49110,50170,50750,51350,51680,52030,52440,56680,57420,Female,Current
Master's degree,50140,50670,48890,50160,51320,51410,52440,55430,57510,61070,59100,60300,60930,61280,60830,62380,64910,68510,66740,70810,Female,Current
Professional degree,58960,61750,57020,66490,75040,80460,76240,71100,71300,83910,76740,80720,94470,85400,91810,82470,92030,100180,99780,102460,Female,Current
Doctor's degree,57080,62120,65720,67210,68880,66850,70520,68990,74030,76580,77390,77460,77900,75090,80540,82310,86370,92030,95170,101170,Female,Current
Less than 9th grade,20790,21360,20920,21220,21660,22330,22710,23380,24260,23950,24450,25220,25130,26160,26580,27160,30350,31000,31800,32140,Male,Current
Some high school,25100,26210,25900,26470,26280,27190,27650,29320,29680,28020,29440,30420,30330,30570,30840,32140,32490,34620,35600,37150,Male,Current
High school completion,34300,34720,33210,35410,35730,36300,37030,37860,39010,39480,40060,40450,40350,40290,40930,41570,41890,42440,45580,46850,Male,Current
Some college,40340,41050,40850,41350,41900,42420,43830,44900,45820,47100,46430,47070,47190,47650,46900,49670,49240,50850,51690,53810,Male,Current
Associate's degree,41950,42780,42860,42870,44400,47180,47070,49040,50150,50300,50280,50930,50960,51000,51110,52070,52120,54700,56720,58800,Male,Current
Bachelor's degree,56330,55930,56080,56500,57220,60020,60910,62090,65800,62440,63740,66200,66150,67240,68160,71390,71630,71990,75150,77090,Male,Current
Master's degree,68320,70900,67280,70640,71530,75030,75430,76280,80960,79340,80960,83030,85120,86310,84760,86740,88430,91600,99620,100560,Male,Current
Professional degree,99410,100000,100000,100000,100000,100000,100000,100000,100000,123240,115300,119470,116350,126730,121750,131190,117550,127230,135440,150100,Male,Current
Doctor's degree,80250,86970,83310,87130,82400,85860,100000,92090,100000,100740,101220,100770,106470,105280,100710,102340,120430,118450,115790,128650,Male,Current
Less than 9th grade,23450,24100,23470,23500,23040,21130,23000,22520,22130,22020,21380,22850,22340,21770,22670,22710,23660,23320,23380,24560,Female,Constant
Some high school,26600,27660,27440,26320,25940,26350,25530,25150,24230,25290,24480,24000,23810,24420,23740,24450,26420,26550,25590,26740,Female,Constant
High school completion,37070,36530,35790,36240,35230,34410,33910,33590,33700,34740,35010,34110,33860,33800,33100,33710,33600,33630,33210,35100,Female,Constant
Some college,42610,43920,41790,41890,41710,41100,40520,40490,38740,40620,39160,39320,39040,38680,37120,38990,39290,38200,39540,40810,Female,Constant
Associate's degree,46130,46420,44950,44820,45320,44430,44590,44800,43650,44410,44290,44650,41560,41380,40470,43350,42840,42390,42240,42300,Female,Constant
Bachelor's degree,60000,59190,58060,57430,56420,55210,57590,56440,55840,55810,55610,55810,55870,55690,55450,55750,55420,54690,57710,57420,Female,Constant
Master's degree,74440,73160,69490,69710,69460,67300,66500,68340,68290,72770,69290,68540,67840,67250,65690,67280,69140,71450,67950,70810,Female,Constant
Professional degree,87530,89150,81040,92410,101560,105330,96690,87670,84660,99990,89970,91740,105200,93720,99150,88960,98030,104480,101590,102460,Female,Constant
Doctor's degree,84750,89700,93400,93410,93220,87520,89430,85060,87900,91260,90740,88040,86750,82410,86980,88780,92000,95990,96900,101170,Female,Constant
Less than 9th grade,30860,30840,29730,29490,29320,29230,28800,28820,28800,28530,28670,28670,27980,28710,28710,29290,32330,32330,32380,32140,Male,Constant
Some high school,37260,37840,36820,36780,35570,35590,35070,36150,35240,33390,34510,34580,33770,33540,33300,34670,34610,36110,36250,37150,Male,Constant
High school completion,50930,50130,47200,49210,48350,47520,46960,46680,46320,47040,46960,45970,44930,44210,44200,44840,44620,44260,46400,46850,Male,Constant
Some college,59890,59260,58060,57460,56710,55530,55590,55360,54410,56120,54440,53500,52540,52290,50640,53580,52450,53030,52630,53810,Male,Constant
Associate's degree,62280,61760,60910,59580,60100,61760,59700,60470,59550,59940,58950,57880,56750,55970,55200,56170,55520,57050,57750,58800,Male,Constant
Bachelor's degree,83640,80750,79700,78520,77450,78570,77240,76550,78130,74410,74730,75240,73660,73790,73610,77000,76300,75090,76510,77090,Male,Constant
Master's degree,101430,102370,95630,98170,96820,98220,95660,94060,96140,94550,94920,94370,94780,94720,91530,93560,94200,95540,101420,100560,Male,Constant
Professional degree,147590,144380,142130,138980,135350,130910,126820,123300,118740,146860,135180,135790,129560,139070,131490,141510,125210,132700,137890,150100,Male,Constant
Doctor's degree,119140,125560,118400,121090,111530,112400,126820,113550,118740,120050,118680,114530,118550,115540,108760,110380,128280,123540,117890,128650,Male,Constant