Degree,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Less than 9th grade,Female,23450,24100,23470,23500,23040,21130,23000,22520,22130,22020,21380,22850,22340,21770,22670,22710,23660,23320,23380,24560
Some high school,Female,26600,27660,27440,26320,25940,26350,25530,25150,24230,25290,24480,24000,23810,24420,23740,24450,26420,26550,25590,26740
High school completion,Female,37070,36530,35790,36240,35230,34410,33910,33590,33700,34740,35010,34110,33860,33800,33100,33710,33600,33630,33210,35100
Some college,Female,42610,43920,41790,41890,41710,41100,40520,40490,38740,40620,39160,39320,39040,38680,37120,38990,39290,38200,39540,40810
Associate's degree,Female,46130,46420,44950,44820,45320,44430,44590,44800,43650,44410,44290,44650,41560,41380,40470,43350,42840,42390,42240,42300
Bachelor's degree,Female,60000,59190,58060,57430,56420,55210,57590,56440,55840,55810,55610,55810,55870,55690,55450,55750,55420,54690,57710,57420
Master's degree,Female,74440,73160,69490,69710,69460,67300,66500,68340,68290,72770,69290,68540,67840,67250,65690,67280,69140,71450,67950,70810
Professional degree,Female,87530,89150,81040,92410,101560,105330,96690,87670,84660,99990,89970,91740,105200,93720,99150,88960,98030,104480,101590,102460
Doctor's degree,Female,84750,89700,93400,93410,93220,87520,89430,85060,87900,91260,90740,88040,86750,82410,86980,88780,92000,95990,96900,101170
Less than 9th grade,Male,30860,30840,29730,29490,29320,29230,28800,28820,28800,28530,28670,28670,27980,28710,28710,29290,32330,32330,32380,32140
Some high school,Male,37260,37840,36820,36780,35570,35590,35070,36150,35240,33390,34510,34580,33770,33540,33300,34670,34610,36110,36250,37150
High school completion,Male,50930,50130,47200,49210,48350,47520,46960,46680,46320,47040,46960,45970,44930,44210,44200,44840,44620,44260,46400,46850
Some college,Male,59890,59260,58060,57460,56710,55530,55590,55360,54410,56120,54440,53500,52540,52290,50640,53580,52450,53030,52630,53810
Associate's degree,Male,62280,61760,60910,59580,60100,61760,59700,60470,59550,59940,58950,57880,56750,55970,55200,56170,55520,57050,57750,58800
Bachelor's degree,Male,83640,80750,79700,78520,77450,78570,77240,76550,78130,74410,74730,75240,73660,73790,73610,77000,76300,75090,76510,77090
Master's degree,Male,101430,102370,95630,98170,96820,98220,95660,94060,96140,94550,94920,94370,94780,94720,91530,93560,94200,95540,101420,100560
Professional degree,Male,147590,144380,142130,138980,135350,130910,126820,123300,118740,146860,135180,135790,129560,139070,131490,141510,125210,132700,137890,150100
Doctor's degree,Male,119140,125560,118400,121090,111530,112400,126820,113550,118740,120050,118680,114530,118550,115540,108760,110380,128280,123540,117890,128650