year,sex,money_measure,education,avg_income,color,idtf,error
2015,Male,Constant 2019 Dollars,High school completion,44840,darkred,Male High school completion (includes equivalency),(198)
2016,Male,Constant 2019 Dollars,High school completion,44620,darkred,Male High school completion (includes equivalency),(192)
2017,Male,Constant 2019 Dollars,High school completion,44260,darkred,Male High school completion (includes equivalency),(547)
2018,Male,Constant 2019 Dollars,High school completion,46400,darkred,Male High school completion (includes equivalency),(305)
2019,Male,Constant 2019 Dollars,High school completion,46850,darkred,Male High school completion (includes equivalency),(378)
1990,Female,Constant 2019 Dollars,High school completion,35840,steelblue,Female High school completion (includes equivalency),(---)
1995,Female,Constant 2019 Dollars,High school completion,34330,steelblue,Female High school completion (includes equivalency),(272)
2000,Female,Constant 2019 Dollars,High school completion,37070,steelblue,Female High school completion (includes equivalency),(350)
2001,Female,Constant 2019 Dollars,High school completion,36530,steelblue,Female High school completion (includes equivalency),(191)
2002,Female,Constant 2019 Dollars,High school completion,35790,steelblue,Female High school completion (includes equivalency),(172)
2003,Female,Constant 2019 Dollars,High school completion,36240,steelblue,Female High school completion (includes equivalency),(164)
2004,Female,Constant 2019 Dollars,High school completion,35230,steelblue,Female High school completion (includes equivalency),(157)
2005,Female,Constant 2019 Dollars,High school completion,34410,steelblue,Female High school completion (includes equivalency),(175)
2006,Female,Constant 2019 Dollars,High school completion,33910,steelblue,Female High school completion (includes equivalency),(172)
2007,Female,Constant 2019 Dollars,High school completion,33590,steelblue,Female High school completion (includes equivalency),(164)
2008,Female,Constant 2019 Dollars,High school completion,33700,steelblue,Female High school completion (includes equivalency),(336)
2009,Female,Constant 2019 Dollars,High school completion,34740,steelblue,Female High school completion (includes equivalency),(325)
2010,Female,Constant 2019 Dollars,High school completion,35010,steelblue,Female High school completion (includes equivalency),(305)
2011,Female,Constant 2019 Dollars,High school completion,34110,steelblue,Female High school completion (includes equivalency),(165)
2012,Female,Constant 2019 Dollars,High school completion,33860,steelblue,Female High school completion (includes equivalency),(184)
2013,Female,Constant 2019 Dollars,High school completion,33800,steelblue,Female High school completion (includes equivalency),(190)
2014,Female,Constant 2019 Dollars,High school completion,33100,steelblue,Female High school completion (includes equivalency),(163)
2015,Female,Constant 2019 Dollars,High school completion,33710,steelblue,Female High school completion (includes equivalency),(149)
2016,Female,Constant 2019 Dollars,High school completion,33600,steelblue,Female High school completion (includes equivalency),(162)
2017,Female,Constant 2019 Dollars,High school completion,33630,steelblue,Female High school completion (includes equivalency),(208)
2018,Female,Constant 2019 Dollars,High school completion,33210,steelblue,Female High school completion (includes equivalency),(480)
2019,Female,Constant 2019 Dollars,High school completion,35100,steelblue,Female High school completion (includes equivalency),(307)
1990,Male,Current Dollars,"Some college, no degree",31730,darkred,"Male Some college, no degree",(---)
1995,Male,Current Dollars,"Some college, no degree",33880,darkred,"Male Some college, no degree",(517)
2000,Male,Current Dollars,"Some college, no degree",40340,darkred,"Male Some college, no degree",(312)
2001,Male,Current Dollars,"Some college, no degree",41050,darkred,"Male Some college, no degree",(214)
2002,Male,Current Dollars,"Some college, no degree",40850,darkred,"Male Some college, no degree",(195)
2003,Male,Current Dollars,"Some college, no degree",41350,darkred,"Male Some college, no degree",(182)
2004,Male,Current Dollars,"Some college, no degree",41900,darkred,"Male Some college, no degree",(175)
2005,Male,Current Dollars,"Some college, no degree",42420,darkred,"Male Some college, no degree",(323)
2006,Male,Current Dollars,"Some college, no degree",43830,darkred,"Male Some college, no degree",(812)
2007,Male,Current Dollars,"Some college, no degree",44900,darkred,"Male Some college, no degree",(585)
2008,Male,Current Dollars,"Some college, no degree",45820,darkred,"Male Some college, no degree",(276)
2009,Male,Current Dollars,"Some college, no degree",47100,darkred,"Male Some college, no degree",(347)
2010,Male,Current Dollars,"Some college, no degree",46430,darkred,"Male Some college, no degree",(348)
2011,Male,Current Dollars,"Some college, no degree",47070,darkred,"Male Some college, no degree",(78)
2012,Male,Current Dollars,"Some college, no degree",47190,darkred,"Male Some college, no degree",(407)
2013,Male,Current Dollars,"Some college, no degree",47650,darkred,"Male Some college, no degree",(739)
2014,Male,Current Dollars,"Some college, no degree",46900,darkred,"Male Some college, no degree",(429)
2015,Male,Current Dollars,"Some college, no degree",49670,darkred,"Male Some college, no degree",(708)
2016,Male,Current Dollars,"Some college, no degree",49240,darkred,"Male Some college, no degree",(784)
2017,Male,Current Dollars,"Some college, no degree",50850,darkred,"Male Some college, no degree",(274)
2018,Male,Current Dollars,"Some college, no degree",51690,darkred,"Male Some college, no degree",(291)
2019,Male,Current Dollars,"Some college, no degree",53810,darkred,"Male Some college, no degree","(1,484)"
1990,Female,Current Dollars,"Some college, no degree",22230,steelblue,"Female Some college, no degree",(---)
1995,Female,Current Dollars,"Some college, no degree",24000,steelblue,"Female Some college, no degree",(274)
2000,Female,Current Dollars,"Some college, no degree",28700,steelblue,"Female Some college, no degree",(364)
2001,Female,Current Dollars,"Some college, no degree",30420,steelblue,"Female Some college, no degree",(186)
2002,Female,Current Dollars,"Some college, no degree",29400,steelblue,"Female Some college, no degree",(299)
2003,Female,Current Dollars,"Some college, no degree",30140,steelblue,"Female Some college, no degree",(176)
2004,Female,Current Dollars,"Some college, no degree",30820,steelblue,"Female Some college, no degree",(135)
2005,Female,Current Dollars,"Some college, no degree",31400,steelblue,"Female Some college, no degree",(165)
2006,Female,Current Dollars,"Some college, no degree",31950,steelblue,"Female Some college, no degree",(165)
2007,Female,Current Dollars,"Some college, no degree",32840,steelblue,"Female Some college, no degree",(415)
2008,Female,Current Dollars,"Some college, no degree",32630,steelblue,"Female Some college, no degree",(355)
2009,Female,Current Dollars,"Some college, no degree",34090,steelblue,"Female Some college, no degree",(483)
2010,Female,Current Dollars,"Some college, no degree",33400,steelblue,"Female Some college, no degree",(410)
2011,Female,Current Dollars,"Some college, no degree",34590,steelblue,"Female Some college, no degree",(512)
2012,Female,Current Dollars,"Some college, no degree",35060,steelblue,"Female Some college, no degree",(452)
2013,Female,Current Dollars,"Some college, no degree",35240,steelblue,"Female Some college, no degree",(312)
2014,Female,Current Dollars,"Some college, no degree",34380,steelblue,"Female Some college, no degree",(891)
2015,Female,Current Dollars,"Some college, no degree",36140,steelblue,"Female Some college, no degree",(273)
2016,Female,Current Dollars,"Some college, no degree",36880,steelblue,"Female Some college, no degree",(273)
2017,Female,Current Dollars,"Some college, no degree",36620,steelblue,"Female Some college, no degree",(259)
2018,Female,Current Dollars,"Some college, no degree",38840,steelblue,"Female Some college, no degree",(600)
2019,Female,Current Dollars,"Some college, no degree",40810,steelblue,"Female Some college, no degree",(272)
1990,Male,Constant 2019 Dollars,"Some college, no degree",62090,darkred,"Male Some college, no degree",(---)
1995,Male,Constant 2019 Dollars,"Some college, no degree",56850,darkred,"Male Some college, no degree",(867)
2000,Male,Constant 2019 Dollars,"Some college, no degree",59890,darkred,"Male Some college, no degree",(463)
2001,Male,Constant 2019 Dollars,"Some college, no degree",59260,darkred,"Male Some college, no degree",(309)
2002,Male,Constant 2019 Dollars,"Some college, no degree",58060,darkred,"Male Some college, no degree",(277)
2003,Male,Constant 2019 Dollars,"Some college, no degree",57460,darkred,"Male Some college, no degree",(253)
2004,Male,Constant 2019 Dollars,"Some college, no degree",56710,darkred,"Male Some college, no degree",(237)
2005,Male,Constant 2019 Dollars,"Some college, no degree",55530,darkred,"Male Some college, no degree",(423)
2006,Male,Constant 2019 Dollars,"Some college, no degree",55590,darkred,"Male Some college, no degree","(1,030)"
2007,Male,Constant 2019 Dollars,"Some college, no degree",55360,darkred,"Male Some college, no degree",(721)
2008,Male,Constant 2019 Dollars,"Some college, no degree",54410,darkred,"Male Some college, no degree",(328)
2009,Male,Constant 2019 Dollars,"Some college, no degree",56120,darkred,"Male Some college, no degree",(414)
2010,Male,Constant 2019 Dollars,"Some college, no degree",54440,darkred,"Male Some college, no degree",(408)
2011,Male,Constant 2019 Dollars,"Some college, no degree",53500,darkred,"Male Some college, no degree",(89)
2012,Male,Constant 2019 Dollars,"Some college, no degree",52540,darkred,"Male Some college, no degree",(453)
2013,Male,Constant 2019 Dollars,"Some college, no degree",52290,darkred,"Male Some college, no degree",(811)
2014,Male,Constant 2019 Dollars,"Some college, no degree",50640,darkred,"Male Some college, no degree",(463)
2015,Male,Constant 2019 Dollars,"Some college, no degree",53580,darkred,"Male Some college, no degree",(764)
2016,Male,Constant 2019 Dollars,"Some college, no degree",52450,darkred,"Male Some college, no degree",(835)
2017,Male,Constant 2019 Dollars,"Some college, no degree",53030,darkred,"Male Some college, no degree",(286)
2018,Male,Constant 2019 Dollars,"Some college, no degree",52630,darkred,"Male Some college, no degree",(296)
2019,Male,Constant 2019 Dollars,"Some college, no degree",53810,darkred,"Male Some college, no degree","(1,484)"
1990,Female,Constant 2019 Dollars,"Some college, no degree",43490,steelblue,"Female Some college, no degree",(---)
1995,Female,Constant 2019 Dollars,"Some college, no degree",40260,steelblue,"Female Some college, no degree",(460)
2000,Female,Constant 2019 Dollars,"Some college, no degree",42610,steelblue,"Female Some college, no degree",(540)
2001,Female,Constant 2019 Dollars,"Some college, no degree",43920,steelblue,"Female Some college, no degree",(269)
2002,Female,Constant 2019 Dollars,"Some college, no degree",41790,steelblue,"Female Some college, no degree",(425)
2003,Female,Constant 2019 Dollars,"Some college, no degree",41890,steelblue,"Female Some college, no degree",(245)
2004,Female,Constant 2019 Dollars,"Some college, no degree",41710,steelblue,"Female Some college, no degree",(183)
2005,Female,Constant 2019 Dollars,"Some college, no degree",41100,steelblue,"Female Some college, no degree",(216)
2006,Female,Constant 2019 Dollars,"Some college, no degree",40520,steelblue,"Female Some college, no degree",(209)
2007,Female,Constant 2019 Dollars,"Some college, no degree",40490,steelblue,"Female Some college, no degree",(512)
2008,Female,Constant 2019 Dollars,"Some college, no degree",38740,steelblue,"Female Some college, no degree",(422)
2009,Female,Constant 2019 Dollars,"Some college, no degree",40620,steelblue,"Female Some college, no degree",(576)
2010,Female,Constant 2019 Dollars,"Some college, no degree",39160,steelblue,"Female Some college, no degree",(481)
2011,Female,Constant 2019 Dollars,"Some college, no degree",39320,steelblue,"Female Some college, no degree",(582)
2012,Female,Constant 2019 Dollars,"Some college, no degree",39040,steelblue,"Female Some college, no degree",(503)
2013,Female,Constant 2019 Dollars,"Some college, no degree",38680,steelblue,"Female Some college, no degree",(342)
2014,Female,Constant 2019 Dollars,"Some college, no degree",37120,steelblue,"Female Some college, no degree",(962)
2015,Female,Constant 2019 Dollars,"Some college, no degree",38990,steelblue,"Female Some college, no degree",(294)
2016,Female,Constant 2019 Dollars,"Some college, no degree",39290,steelblue,"Female Some college, no degree",(291)
2017,Female,Constant 2019 Dollars,"Some college, no degree",38200,steelblue,"Female Some college, no degree",(270)
2018,Female,Constant 2019 Dollars,"Some college, no degree",39540,steelblue,"Female Some college, no degree",(611)
2019,Female,Constant 2019 Dollars,"Some college, no degree",40810,steelblue,"Female Some college, no degree",(272)
1990,Male,Current Dollars,Associate's degree,NA,darkred,Male Associate's degree,(†)
1995,Male,Current Dollars,Associate's degree,35200,darkred,Male Associate's degree,(535)
2000,Male,Current Dollars,Associate's degree,41950,darkred,Male Associate's degree,(460)
2001,Male,Current Dollars,Associate's degree,42780,darkred,Male Associate's degree,(561)
2002,Male,Current Dollars,Associate's degree,42860,darkred,Male Associate's degree,(673)
2003,Male,Current Dollars,Associate's degree,42870,darkred,Male Associate's degree,(719)
2004,Male,Current Dollars,Associate's degree,44400,darkred,Male Associate's degree,(931)
2005,Male,Current Dollars,Associate's degree,47180,darkred,Male Associate's degree,(367)
2006,Male,Current Dollars,Associate's degree,47070,darkred,Male Associate's degree,(390)
2007,Male,Current Dollars,Associate's degree,49040,darkred,Male Associate's degree,(801)
2008,Male,Current Dollars,Associate's degree,50150,darkred,Male Associate's degree,(344)
2009,Male,Current Dollars,Associate's degree,50300,darkred,Male Associate's degree,(238)
2010,Male,Current Dollars,Associate's degree,50280,darkred,Male Associate's degree,(245)
2011,Male,Current Dollars,Associate's degree,50930,darkred,Male Associate's degree,(212)
2012,Male,Current Dollars,Associate's degree,50960,darkred,Male Associate's degree,(329)
2013,Male,Current Dollars,Associate's degree,51000,darkred,Male Associate's degree,(493)
2014,Male,Current Dollars,Associate's degree,51110,darkred,Male Associate's degree,(345)
2015,Male,Current Dollars,Associate's degree,52070,darkred,Male Associate's degree,(352)
2016,Male,Current Dollars,Associate's degree,52120,darkred,Male Associate's degree,(462)
2017,Male,Current Dollars,Associate's degree,54700,darkred,Male Associate's degree,"(1,414)"
2018,Male,Current Dollars,Associate's degree,56720,darkred,Male Associate's degree,(598)
2019,Male,Current Dollars,Associate's degree,58800,darkred,Male Associate's degree,"(1,555)"
1990,Female,Current Dollars,Associate's degree,NA,steelblue,Female Associate's degree,(†)
1995,Female,Current Dollars,Associate's degree,27310,steelblue,Female Associate's degree,(428)
2000,Female,Current Dollars,Associate's degree,31070,steelblue,Female Associate's degree,(307)
2001,Female,Current Dollars,Associate's degree,32150,steelblue,Female Associate's degree,(231)
2002,Female,Current Dollars,Associate's degree,31630,steelblue,Female Associate's degree,(211)
2003,Female,Current Dollars,Associate's degree,32250,steelblue,Female Associate's degree,(241)
2004,Female,Current Dollars,Associate's degree,33480,steelblue,Female Associate's degree,(489)
2005,Female,Current Dollars,Associate's degree,33940,steelblue,Female Associate's degree,(497)
2006,Female,Current Dollars,Associate's degree,35160,steelblue,Female Associate's degree,(376)
2007,Female,Current Dollars,Associate's degree,36330,steelblue,Female Associate's degree,(283)
2008,Female,Current Dollars,Associate's degree,36760,steelblue,Female Associate's degree,(243)
2009,Female,Current Dollars,Associate's degree,37270,steelblue,Female Associate's degree,(310)
2010,Female,Current Dollars,Associate's degree,37770,steelblue,Female Associate's degree,(588)
2011,Female,Current Dollars,Associate's degree,39290,steelblue,Female Associate's degree,(40)
2012,Female,Current Dollars,Associate's degree,37320,steelblue,Female Associate's degree,(455)
2013,Female,Current Dollars,Associate's degree,37700,steelblue,Female Associate's degree,(751)
2014,Female,Current Dollars,Associate's degree,37480,steelblue,Female Associate's degree,(591)
2015,Female,Current Dollars,Associate's degree,40190,steelblue,Female Associate's degree,(437)
2016,Female,Current Dollars,Associate's degree,40220,steelblue,Female Associate's degree,(362)
2017,Female,Current Dollars,Associate's degree,40640,steelblue,Female Associate's degree,(335)
2018,Female,Current Dollars,Associate's degree,41490,steelblue,Female Associate's degree,(329)
2019,Female,Current Dollars,Associate's degree,42300,steelblue,Female Associate's degree,(540)
1990,Male,Constant 2019 Dollars,Associate's degree,NA,darkred,Male Associate's degree,(†)
1995,Male,Constant 2019 Dollars,Associate's degree,59060,darkred,Male Associate's degree,(898)
2000,Male,Constant 2019 Dollars,Associate's degree,62280,darkred,Male Associate's degree,(683)
2001,Male,Constant 2019 Dollars,Associate's degree,61760,darkred,Male Associate's degree,(810)
2002,Male,Constant 2019 Dollars,Associate's degree,60910,darkred,Male Associate's degree,(957)
2003,Male,Constant 2019 Dollars,Associate's degree,59580,darkred,Male Associate's degree,(999)
2004,Male,Constant 2019 Dollars,Associate's degree,60100,darkred,Male Associate's degree,"(1,260)"
2005,Male,Constant 2019 Dollars,Associate's degree,61760,darkred,Male Associate's degree,(480)
2006,Male,Constant 2019 Dollars,Associate's degree,59700,darkred,Male Associate's degree,(495)
2007,Male,Constant 2019 Dollars,Associate's degree,60470,darkred,Male Associate's degree,(988)
2008,Male,Constant 2019 Dollars,Associate's degree,59550,darkred,Male Associate's degree,(408)
2009,Male,Constant 2019 Dollars,Associate's degree,59940,darkred,Male Associate's degree,(284)
2010,Male,Constant 2019 Dollars,Associate's degree,58950,darkred,Male Associate's degree,(287)
2011,Male,Constant 2019 Dollars,Associate's degree,57880,darkred,Male Associate's degree,(241)
2012,Male,Constant 2019 Dollars,Associate's degree,56750,darkred,Male Associate's degree,(366)
2013,Male,Constant 2019 Dollars,Associate's degree,55970,darkred,Male Associate's degree,(541)
2014,Male,Constant 2019 Dollars,Associate's degree,55200,darkred,Male Associate's degree,(373)
2015,Male,Constant 2019 Dollars,Associate's degree,56170,darkred,Male Associate's degree,(380)
2016,Male,Constant 2019 Dollars,Associate's degree,55520,darkred,Male Associate's degree,(492)
2017,Male,Constant 2019 Dollars,Associate's degree,57050,darkred,Male Associate's degree,"(1,475)"
2018,Male,Constant 2019 Dollars,Associate's degree,57750,darkred,Male Associate's degree,(609)
2019,Male,Constant 2019 Dollars,Associate's degree,58800,darkred,Male Associate's degree,"(1,555)"
1990,Female,Constant 2019 Dollars,Associate's degree,NA,steelblue,Female Associate's degree,(†)
1995,Female,Constant 2019 Dollars,Associate's degree,45820,steelblue,Female Associate's degree,(718)
2000,Female,Constant 2019 Dollars,Associate's degree,46130,steelblue,Female Associate's degree,(456)
2001,Female,Constant 2019 Dollars,Associate's degree,46420,steelblue,Female Associate's degree,(334)
2002,Female,Constant 2019 Dollars,Associate's degree,44950,steelblue,Female Associate's degree,(300)
2003,Female,Constant 2019 Dollars,Associate's degree,44820,steelblue,Female Associate's degree,(335)
2004,Female,Constant 2019 Dollars,Associate's degree,45320,steelblue,Female Associate's degree,(662)
2005,Female,Constant 2019 Dollars,Associate's degree,44430,steelblue,Female Associate's degree,(651)
2006,Female,Constant 2019 Dollars,Associate's degree,44590,steelblue,Female Associate's degree,(477)
2007,Female,Constant 2019 Dollars,Associate's degree,44800,steelblue,Female Associate's degree,(349)
2008,Female,Constant 2019 Dollars,Associate's degree,43650,steelblue,Female Associate's degree,(289)
2009,Female,Constant 2019 Dollars,Associate's degree,44410,steelblue,Female Associate's degree,(369)
2010,Female,Constant 2019 Dollars,Associate's degree,44290,steelblue,Female Associate's degree,(689)
2011,Female,Constant 2019 Dollars,Associate's degree,44650,steelblue,Female Associate's degree,(45)
2012,Female,Constant 2019 Dollars,Associate's degree,41560,steelblue,Female Associate's degree,(507)
2013,Female,Constant 2019 Dollars,Associate's degree,41380,steelblue,Female Associate's degree,(824)
2014,Female,Constant 2019 Dollars,Associate's degree,40470,steelblue,Female Associate's degree,(638)
2015,Female,Constant 2019 Dollars,Associate's degree,43350,steelblue,Female Associate's degree,(471)
2016,Female,Constant 2019 Dollars,Associate's degree,42840,steelblue,Female Associate's degree,(386)
2017,Female,Constant 2019 Dollars,Associate's degree,42390,steelblue,Female Associate's degree,(349)
2018,Female,Constant 2019 Dollars,Associate's degree,42240,steelblue,Female Associate's degree,(335)
2019,Female,Constant 2019 Dollars,Associate's degree,42300,steelblue,Female Associate's degree,(540)
1990,Male,Current Dollars,Bachelor's degree,39240,darkred,Male Bachelor's degree,(---)
1995,Male,Current Dollars,Bachelor's degree,45270,darkred,Male Bachelor's degree,(510)
2000,Male,Current Dollars,Bachelor's degree,56330,darkred,Male Bachelor's degree,(573)
2001,Male,Current Dollars,Bachelor's degree,55930,darkred,Male Bachelor's degree,(335)
2002,Male,Current Dollars,Bachelor's degree,56080,darkred,Male Bachelor's degree,(385)
2003,Male,Current Dollars,Bachelor's degree,56500,darkred,Male Bachelor's degree,(365)
2004,Male,Current Dollars,Bachelor's degree,57220,darkred,Male Bachelor's degree,(393)
2005,Male,Current Dollars,Bachelor's degree,60020,darkred,Male Bachelor's degree,(653)
2006,Male,Current Dollars,Bachelor's degree,60910,darkred,Male Bachelor's degree,(235)
2007,Male,Current Dollars,Bachelor's degree,62090,darkred,Male Bachelor's degree,(236)
2008,Male,Current Dollars,Bachelor's degree,65800,darkred,Male Bachelor's degree,(388)
2009,Male,Current Dollars,Bachelor's degree,62440,darkred,Male Bachelor's degree,(707)
2010,Male,Current Dollars,Bachelor's degree,63740,darkred,Male Bachelor's degree,"(1,115)"
2011,Male,Current Dollars,Bachelor's degree,66200,darkred,Male Bachelor's degree,(25)
2012,Male,Current Dollars,Bachelor's degree,66150,darkred,Male Bachelor's degree,(570)
2013,Male,Current Dollars,Bachelor's degree,67240,darkred,Male Bachelor's degree,(992)
2014,Male,Current Dollars,Bachelor's degree,68160,darkred,Male Bachelor's degree,"(1,282)"
2015,Male,Current Dollars,Bachelor's degree,71390,darkred,Male Bachelor's degree,(420)
2016,Male,Current Dollars,Bachelor's degree,71630,darkred,Male Bachelor's degree,(383)
2017,Male,Current Dollars,Bachelor's degree,71990,darkred,Male Bachelor's degree,(395)
2018,Male,Current Dollars,Bachelor's degree,75150,darkred,Male Bachelor's degree,(959)
2019,Male,Current Dollars,Bachelor's degree,77090,darkred,Male Bachelor's degree,(533)
1990,Female,Current Dollars,Bachelor's degree,28020,steelblue,Female Bachelor's degree,(---)
1995,Female,Current Dollars,Bachelor's degree,32050,steelblue,Female Bachelor's degree,(273)
2000,Female,Current Dollars,Bachelor's degree,40420,steelblue,Female Bachelor's degree,(284)
2001,Female,Current Dollars,Bachelor's degree,40990,steelblue,Female Bachelor's degree,(231)
2002,Female,Current Dollars,Bachelor's degree,40850,steelblue,Female Bachelor's degree,(173)
2003,Female,Current Dollars,Bachelor's degree,41330,steelblue,Female Bachelor's degree,(204)
2004,Female,Current Dollars,Bachelor's degree,41680,steelblue,Female Bachelor's degree,(172)
2005,Female,Current Dollars,Bachelor's degree,42170,steelblue,Female Bachelor's degree,(179)
2006,Female,Current Dollars,Bachelor's degree,45410,steelblue,Female Bachelor's degree,(259)
2007,Female,Current Dollars,Bachelor's degree,45770,steelblue,Female Bachelor's degree,(262)
2008,Female,Current Dollars,Bachelor's degree,47030,steelblue,Female Bachelor's degree,(237)
2009,Female,Current Dollars,Bachelor's degree,46830,steelblue,Female Bachelor's degree,(260)
2010,Female,Current Dollars,Bachelor's degree,47440,steelblue,Female Bachelor's degree,(336)
2011,Female,Current Dollars,Bachelor's degree,49110,steelblue,Female Bachelor's degree,(103)
2012,Female,Current Dollars,Bachelor's degree,50170,steelblue,Female Bachelor's degree,(290)
2013,Female,Current Dollars,Bachelor's degree,50750,steelblue,Female Bachelor's degree,(341)
2014,Female,Current Dollars,Bachelor's degree,51350,steelblue,Female Bachelor's degree,(230)
2015,Female,Current Dollars,Bachelor's degree,51680,steelblue,Female Bachelor's degree,(278)
2016,Female,Current Dollars,Bachelor's degree,52030,steelblue,Female Bachelor's degree,(257)
2017,Female,Current Dollars,Bachelor's degree,52440,steelblue,Female Bachelor's degree,(601)
2018,Female,Current Dollars,Bachelor's degree,56680,steelblue,Female Bachelor's degree,(466)
2019,Female,Current Dollars,Bachelor's degree,57420,steelblue,Female Bachelor's degree,(805)
1990,Male,Constant 2019 Dollars,Bachelor's degree,76780,darkred,Male Bachelor's degree,(---)
1995,Male,Constant 2019 Dollars,Bachelor's degree,75940,darkred,Male Bachelor's degree,(856)
2000,Male,Constant 2019 Dollars,Bachelor's degree,83640,darkred,Male Bachelor's degree,(851)
2001,Male,Constant 2019 Dollars,Bachelor's degree,80750,darkred,Male Bachelor's degree,(484)
2002,Male,Constant 2019 Dollars,Bachelor's degree,79700,darkred,Male Bachelor's degree,(547)
2003,Male,Constant 2019 Dollars,Bachelor's degree,78520,darkred,Male Bachelor's degree,(507)
2004,Male,Constant 2019 Dollars,Bachelor's degree,77450,darkred,Male Bachelor's degree,(532)
2005,Male,Constant 2019 Dollars,Bachelor's degree,78570,darkred,Male Bachelor's degree,(855)
2006,Male,Constant 2019 Dollars,Bachelor's degree,77240,darkred,Male Bachelor's degree,(298)
2007,Male,Constant 2019 Dollars,Bachelor's degree,76550,darkred,Male Bachelor's degree,(291)
2008,Male,Constant 2019 Dollars,Bachelor's degree,78130,darkred,Male Bachelor's degree,(461)
2009,Male,Constant 2019 Dollars,Bachelor's degree,74410,darkred,Male Bachelor's degree,(843)
2010,Male,Constant 2019 Dollars,Bachelor's degree,74730,darkred,Male Bachelor's degree,"(1,307)"
2011,Male,Constant 2019 Dollars,Bachelor's degree,75240,darkred,Male Bachelor's degree,(28)
2012,Male,Constant 2019 Dollars,Bachelor's degree,73660,darkred,Male Bachelor's degree,(635)
2013,Male,Constant 2019 Dollars,Bachelor's degree,73790,darkred,Male Bachelor's degree,"(1,089)"
2014,Male,Constant 2019 Dollars,Bachelor's degree,73610,darkred,Male Bachelor's degree,"(1,384)"
2015,Male,Constant 2019 Dollars,Bachelor's degree,77000,darkred,Male Bachelor's degree,(453)
2016,Male,Constant 2019 Dollars,Bachelor's degree,76300,darkred,Male Bachelor's degree,(408)
